OID_,HEIGHT,ROOF_TYPE,building,source,addrhousenumber,addrstreet,addrcity,addrstate,addrpostcode,Shape_Length,Shape_Area
10760,4.078183610952000,gable,yes,M-NCPPC,,,,MD,,55.231759154556450,187.909014219835399
10763,3.148710604776000,gable,yes,M-NCPPC,,,,MD,,49.833011129125225,153.633668033828144
10781,3.440336069784000,flat,yes,M-NCPPC,,,,MD,,49.423928568287025,152.217108747826018
10790,3.186871394088000,gable,yes,M-NCPPC,,,,MD,,41.243423047465051,106.253149614369207
10857,6.555275154600000,not applicable,yes,M-NCPPC,,,,MD,,37.242055800570341,104.638859537519778
10891,10.718922423936000,gable,yes,M-NCPPC,2608,Rose Mount,Bowie,MD,20721,220.986269853394930,2259.737000020918458
10892,12.185537892528000,gable,yes,M-NCPPC,2500,Campus,Bowie,MD,20721,354.125599745628563,5594.467166097098925
10952,13.091156638056001,gable,yes,M-NCPPC,2506,Campus,Bowie,MD,20721,350.721651248534044,5587.902059743362770
10993,9.871189267488001,gable,yes,M-NCPPC,2512,Campus,Bowie,MD,20721,349.504868448535206,5584.441887173160467
11022,11.872614311112001,gable,yes,M-NCPPC,2518,Campus,Bowie,MD,20721,349.502484631320669,5584.411130102346760
11083,3.674988806472000,gable,yes,M-NCPPC,,,,MD,,50.285049298717595,154.382158119414413
11099,3.217854585360000,gable,yes,M-NCPPC,,,,MD,,43.966347580928314,115.414379890920841
11141,3.816527429160000,gable,yes,M-NCPPC,,,,MD,,55.389213618781625,179.317880636287015
11171,6.327555828480000,not applicable,yes,M-NCPPC,,,,MD,,37.528180305507107,106.252882290046642
11172,8.917812449328000,gable,yes,M-NCPPC,2618,Rose Mount,Bowie,MD,20721,215.811684877493690,2202.415758181390629
11177,3.136656033000000,gable,yes,M-NCPPC,,,,MD,,49.104535286985019,135.256230952614317
11198,9.205650027576000,gable,yes,M-NCPPC,2616,Rose Mount,Bowie,MD,20721,214.608050775561480,2100.029819290445175
11213,9.823703192280000,gable,yes,M-NCPPC,2614,Rose Mount,Bowie,MD,20721,225.456861893674983,2355.824600480594654
11215,9.648245876952000,gable,yes,M-NCPPC,2612,Rose Mount,Bowie,MD,20721,211.657753492794654,2190.417591654754233
11216,5.417450652504001,not applicable,yes,M-NCPPC,,,,MD,,42.244788976672318,128.794012763296848
11237,10.589454131184000,gable,yes,M-NCPPC,2610,Rose Mount,Bowie,MD,20721,204.445862275312010,2032.792369273460281
11338,3.042145645440000,gable,yes,M-NCPPC,,,,MD,,44.870770598785839,123.390087639941768
11391,2.215447791600000,gable,yes,M-NCPPC,,,,MD,,39.074645375308322,94.518739274037628
13454,4.448226441096001,not applicable,yes,M-NCPPC,,,,MD,,37.934607432136843,108.566763756793947
15395,11.395464712200001,gable,yes,M-NCPPC,2405,Saint Josephs,Bowie,MD,20721,217.498879971125774,2210.698204052911024
15489,5.558905147344001,gable,yes,M-NCPPC,,,,MD,,54.687194884318494,184.033058828420934
15606,2.979374615280000,gable,yes,M-NCPPC,,,,MD,,48.656071194641498,133.760794643259402
15610,4.755905121648000,gable,yes,M-NCPPC,,,,MD,,77.180640737100305,368.835187222879142
15899,3.327537526776000,gable,yes,M-NCPPC,,,,MD,,57.601501093207254,198.415515230713083
15908,3.601051980000000,gable,yes,M-NCPPC,,,,MD,,56.441583506393037,189.107352690247666
15993,2.753496323832000,flat,yes,M-NCPPC,,,,MD,,50.635477516319042,145.893486595138427
16071,3.705409114440000,gable,yes,M-NCPPC,,,,MD,,50.097080354317761,156.613847412850077
16072,14.288650650480001,gable,yes,M-NCPPC,3001,Saint Josephs,Upper Marlboro,MD,20774,139.179636707609575,969.253816168778144
16073,14.549254028687999,gable,yes,M-NCPPC,3003,Saint Josephs,Upper Marlboro,MD,20774,135.091627070193937,905.240660383859449
16075,14.440079021232002,gable,yes,M-NCPPC,3005,Saint Josephs,Upper Marlboro,MD,20774,127.832516069057007,844.692780320942234
16078,14.613358443024001,gable,yes,M-NCPPC,3007,Saint Josephs,Upper Marlboro,MD,20774,140.787242940884539,1031.748815081759176
16079,14.011760168447999,gable,yes,M-NCPPC,3009,Saint Josephs,Upper Marlboro,MD,20774,139.181671333157169,969.268548509744846
16130,14.412297226656001,gable,yes,M-NCPPC,3011,Saint Josephs,Upper Marlboro,MD,20774,135.091260288232235,905.258659802438387
16132,14.440739422247999,gable,yes,M-NCPPC,3013,Saint Josephs,Upper Marlboro,MD,20774,127.832393646310635,844.684477525285729
16133,14.618225084040001,gable,yes,M-NCPPC,3015,Saint Josephs,Upper Marlboro,MD,20774,140.787568613445814,1031.766298574071698
16137,15.723632368776002,gable,yes,M-NCPPC,9812,Essie,Upper Marlboro,MD,20774,132.981196621088941,963.769185467092484
16139,15.817571728776000,gable,yes,M-NCPPC,9810,Essie,Upper Marlboro,MD,20774,134.319898917699788,883.242754974679656
16140,16.247412499776001,gable,yes,M-NCPPC,9808,Essie,Upper Marlboro,MD,20774,128.498313307469544,873.772784418977722
16142,16.000463539776000,gable,yes,M-NCPPC,9806,Essie,Upper Marlboro,MD,20774,131.480550550344930,940.439450840125346
16143,16.025365699776003,gable,yes,M-NCPPC,9804,Essie,Upper Marlboro,MD,20774,131.417709833604448,840.461519499207839
16144,16.337227516487999,gable,yes,M-NCPPC,9802,Essie,Upper Marlboro,MD,20774,133.817050179375599,990.729680134685623
16145,15.353037859776000,gable,yes,M-NCPPC,9800,Essie,Upper Marlboro,MD,20774,132.564831938185392,962.715558047336572
16147,16.079077513104000,gable,yes,M-NCPPC,3028,Mia,Upper Marlboro,MD,20774,139.181428736608467,969.274496411274754
16148,16.188408651311999,gable,yes,M-NCPPC,3030,Mia,Upper Marlboro,MD,20774,135.089509891991696,905.209569915952557
16149,16.043754923856000,gable,yes,M-NCPPC,3032,Mia,Upper Marlboro,MD,20774,127.833739644343382,844.698160964051795
16150,16.240011730224001,gable,yes,M-NCPPC,3037,Mia,Upper Marlboro,MD,20774,180.535870022281699,2036.667841097103064
16152,15.587406705744000,gable,yes,M-NCPPC,3031,Saint Josephs,Upper Marlboro,MD,20774,140.883933745911690,1041.928581816427140
16153,16.109622825648000,gable,yes,M-NCPPC,3034,Mia,Upper Marlboro,MD,20774,140.788422606455413,1031.753985814635826
16154,16.657763767464001,gable,yes,M-NCPPC,3041,Mia,Upper Marlboro,MD,20774,147.046823576563639,1039.157457555819747
16155,15.833545229976000,gable,yes,M-NCPPC,3033,Saint Josephs,Upper Marlboro,MD,20774,135.745987506394613,918.829725781564093
16207,16.866883935456002,gable,yes,M-NCPPC,3043,Mia,Upper Marlboro,MD,20774,134.402992493949910,993.179272298435876
16208,15.794914545744001,gable,yes,M-NCPPC,3035,Saint Josephs,Upper Marlboro,MD,20774,135.630493524482887,909.148370389304091
16209,15.898571185776001,gable,yes,M-NCPPC,3036,Mia,Upper Marlboro,MD,20774,129.504264210393217,888.081929620919368
16210,15.527486646768002,gable,yes,M-NCPPC,3037,Saint Josephs,Upper Marlboro,MD,20774,136.072295734776503,883.138955498562268
16211,16.478676972984001,gable,yes,M-NCPPC,3045,Mia,Upper Marlboro,MD,20774,142.561544307444819,1082.868878860033874
16212,15.769275025776002,gable,yes,M-NCPPC,3038,Mia,Upper Marlboro,MD,20774,141.443350174380697,992.029875231208734
16214,15.018689438304001,gable,yes,M-NCPPC,3039,Saint Josephs,Upper Marlboro,MD,20774,136.256625164242195,901.557276940621477
16215,15.550276225776001,gable,yes,M-NCPPC,3040,Mia,Upper Marlboro,MD,20774,128.944119093758189,870.950264115981895
16216,14.936149598304000,gable,yes,M-NCPPC,3041,Saint Josephs,Upper Marlboro,MD,20774,135.059130031159441,987.745740291280413
16217,15.649244785776002,gable,yes,M-NCPPC,3042,Mia,Upper Marlboro,MD,20774,140.088013544410728,962.575429004177863
16218,3.783793350864000,gable,yes,M-NCPPC,,,,MD,,55.411387618900193,191.838120433056361
16219,15.475905025776001,gable,yes,M-NCPPC,3044,Mia,Upper Marlboro,MD,20774,126.940302660100599,840.856146962436924
16221,13.771198972152002,gable,yes,M-NCPPC,3043,Saint Josephs,Upper Marlboro,MD,20774,129.505283699090398,888.088461832709299
16222,15.445790785776001,gable,yes,M-NCPPC,3046,Mia,Upper Marlboro,MD,20774,138.926616147023026,1030.311494313919184
16223,13.498433452152002,gable,yes,M-NCPPC,3045,Saint Josephs,Upper Marlboro,MD,20774,141.443478065016876,992.023624231099575
16224,13.201283932152000,gable,yes,M-NCPPC,3047,Saint Josephs,Upper Marlboro,MD,20774,128.944755332682064,870.959847874565185
16227,13.061533132152000,gable,yes,M-NCPPC,3049,Saint Josephs,Upper Marlboro,MD,20774,140.087249651883582,962.586329341069813
16228,12.820466812152002,gable,yes,M-NCPPC,3051,Saint Josephs,Upper Marlboro,MD,20774,126.938836773099666,840.826428559744159
16229,12.764078812152000,gable,yes,M-NCPPC,3053,Saint Josephs,Upper Marlboro,MD,20774,138.926488246711045,1030.311964656023974
17457,4.518098043288000,not applicable,yes,M-NCPPC,,,,MD,,42.145322556848846,134.006069233639778
